id,url,domain,network,extend,regex1,regex2,regex3,regex4,regex5,virustotal,isaffi
84,https://www.olympus.co.jp/,0,0,0,0,0,0,0,0,0,0
85,https://www.lixil.co.jp/,0,0,0,0,0,0,0,1,0,0
86,https://www.ajinomoto.co.jp/,0,0,1,0,0,0,0,1,0,0
87,https://www.sompo-japan.co.jp/,0,0,1,0,0,0,0,1,0,0
88,https://www.nissay.co.jp/,0,0,0,0,0,0,0,1,1,0
89,https://www.chuden.co.jp/,0,0,0,0,0,0,0,1,0,0
90,https://www.kuronekoyamato.co.jp/,0,0,0,0,0,0,0,1,0,0
91,https://www.mhi.com/jp/,0,0,1,0,0,0,0,1,0,0
92,https://www.yanmar.com/jp/,0,0,0,0,0,0,0,1,0,0
93,https://www.matsui.co.jp/,0,0,0,0,0,0,0,1,0,0
94,https://www.dic-global.com/ja/,0,0,0,0,0,0,0,1,0,0
95,https://www.asahi-kasei.com/jp/,0,0,0,0,0,0,0,1,0,0
96,https://www.jal.co.jp/jp/ja/,0,0,0,0,0,0,0,1,0,0
97,https://www.chugai-pharm.co.jp/index.html,0,0,1,0,0,0,0,1,0,0
98,https://www.mazda.co.jp/,0,0,0,0,0,0,0,1,0,0
99,https://www.ymobile.jp/,0,0,0,0,0,0,0,1,0,0
100,https://www.tokiomarine-nichido.co.jp/,0,0,0,0,0,0,0,1,0,0
101,https://zenn.dev/,0,0,0,0,1,0,1,1,0,0
102,https://www.dsk-cloud.com/,0,0,0,0,0,0,1,1,0,0
103,https://www.apple.com/,0,0,0,0,0,0,0,1,0,0
104,https://www.demandsphere.jp/,0,0,0,0,0,0,0,0,0,0
105,https://www.infobahn.co.jp/,0,0,0,0,0,0,0,1,0,0
106,https://www.seohacks.net/,0,0,0,0,1,0,1,1,0,0
107,https://keiei.freee.co.jp/,0,0,0,0,0,0,0,1,0,0
108,https://keiriplus.jp/,0,0,0,0,0,0,1,1,0,0
109,https://smmlab.jp/,0,0,0,0,0,0,0,1,0,0
110,https://www.xlsoft.com/jp/index.html,0,0,0,0,0,0,0,1,0,0
111,https://blog.gmotech.jp/,0,0,0,0,0,0,0,1,0,0
112,https://hatenablog.com/,0,0,0,0,1,0,1,1,0,0
113,https://mixi-developers.mixi.co.jp/,0,0,0,0,0,0,0,1,0,0
114,https://devlog.grapecity.co.jp/,0,0,0,0,0,0,0,1,0,0
115,https://devops-blog.virtualtech.jp/,0,0,0,0,1,0,1,1,0,0
116,https://tech.mirrativ.stream/,1,0,0,0,0,0,1,1,0,0
117,https://engineering.dena.com/,0,0,0,0,0,0,0,1,0,0
118,https://tech.pepabo.com/,0,0,0,0,0,0,1,1,0,0
119,https://engineering.mercari.com/,0,0,0,0,0,0,0,1,0,0
120,https://tech.hey.jp/,0,0,0,0,0,0,1,1,0,0
121,https://buildersbox.corp-sansan.com/,0,0,0,0,1,0,1,1,0,0
122,https://tech.revcomm.co.jp/,0,0,0,0,1,0,1,1,0,0
123,https://tsd.mitsue.co.jp/,0,0,0,0,0,0,0,1,0,0
124,https://devblog.thebase.in/,0,0,0,0,0,0,1,1,0,0
125,https://eng-blog.iij.ad.jp/,0,0,0,0,0,0,1,1,0,0
126,https://engineering.linecorp.com/ja,0,0,0,0,0,0,0,1,0,0
127,https://www.ai-shift.co.jp/,0,0,0,0,0,0,0,1,0,0
128,https://tech.mobilefactory.jp/,0,0,0,0,1,0,1,1,0,0
129,https://gihyo.jp/,0,0,0,0,0,0,0,1,0,0
130,http://logics-line.co.jp/,0,0,0,0,0,0,0,1,0,0
131,http://www.novatec.co.jp/,0,0,0,0,0,0,0,1,0,0
132,https://www.microchip.co.jp/,0,0,0,0,0,0,0,0,0,0
133,https://www.ibm.com/jp-ja,0,0,0,0,0,0,0,1,0,0
134,https://acceltech.co.jp/,0,0,0,0,0,0,0,1,0,0
135,https://www.fsi.co.jp/,0,0,0,0,0,0,1,1,0,0
136,https://www.kddi.com/,0,0,0,0,0,0,0,1,0,0
